name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,rarity,breakProb,minPieces,maxPieces,travel drive,number
Wolf,wolf,Frigate,High Tech,displacer,5,1500,150,2250,1875,150,65,,150,130,100,60,120,200,FRONT,,150,0.4,0.8,,,15,30,50,20,1,20,10,12000,10,20,180,0.25,5,5,,,,,,,,"hightech_bp, merc",,0.5,2,2,,200
Hound,hound,Combat Freighter,Low Tech,flarelauncher,3,2000,400,750,1250,100,47,,180,175,100,90,120,200,NONE,,0,0,0,,,10,40,75,30,1,30,10,7500,5,10,240,0.25,3,3,25,75,,,,,,base_bp,,0.4,2,2,,201
Hyperion,hyperion,Advanced Gunship,High Tech,phaseteleporter,15,2500,250,8000,6250,500,62,,120,175,150,50,100,300,FRONT,,300,0.6,0.6,,,5,15,10,15,1,15,10,40000,8,40,120,0.25,15,15,,,,,,,,rare_bp,0.5,0.75,2,2,,202
Mercury,mercury,Shuttle,High Tech,flarelauncher_active,3,1000,150,1600,1875,150,47,,135,100,100,90,120,125,OMNI,,120,0.5,0.8,,,1,30,20,15,0.5,30,9,4000,5,20,180,0.25,2,2,10,40,,,15,60,"CIVILIAN, LINER",base_bp,,0.5,2,2,,203
Hermes,hermes,Shuttle,Midline,maneuveringjets,3,1200,200,1000,1000,80,47,,125,90,80,90,120,125,OMNI,,120,0.5,1,,,2,10,50,15,0.5,30,9,4000,5,20,180,0.25,2,2,25,100,,,,,"CIVILIAN, FREIGHTER",base_bp,,0.5,2,2,,203.5
Lasher,lasher,Frigate,Low Tech,ammofeed,5,1750,300,2100,1750,140,65,,120,110,90,60,90,200,FRONT,,210,0.4,1,,,25,50,40,25,1,25,10,9000,8,10,240,0.25,4,4,,,,,,,,"lowtech_bp, merc",,0.4,2,2,,204
Omen,omen,Frigate,High Tech,emp,6,750,125,2500,2500,200,46,,155,220,175,120,360,100,OMNI,,360,0.3,0.6,,,10,20,30,20,1,20,10,20000,10,20,180,0.25,5,5,,,,,,,,"rare_bp, merc",,0.5,2,2,,205
Tempest,tempest,Frigate,High Tech,highenergyfocus,8,1250,200,2500,2813,225,56,1,180,200,175,90,270,200,OMNI,,120,0.2,0.8,,,15,25,30,20,1,20,11,36000,10,20,180,0.25,8,8,,,,,,,,"rare_bp, hist1t, merc",0.75,0.5,2,2,,206
Brawler,brawler,Gunship,Midline,maneuveringjets,7,2000,450,3000,3125,250,62,,100,180,120,60,120,250,FRONT,,270,0.4,0.8,,,15,30,40,20,1,20,9,12000,8,10,300,0.25,6,6,,,,,,,,"midline_bp, merc",,0.4,2,2,,207
Vigilance,vigilance,Frigate,Midline,fastmissileracks,5,1000,200,1900,1625,130,52,,130,120,100,45,90,100,OMNI,,120,0.4,0.8,,,10,25,40,25,1,25,10,10000,8,10,240,0.25,5,5,,,,,,,,"midline_bp, merc",,0.5,2,2,,208
Dram,dram,Tanker,Low Tech,flarelauncher,3,750,200,1500,1250,100,34,,120,70,50,30,60,200,OMNI,,90,0.5,1.2,,,5,10,15,300,1,300,9,8000,8,20,180,0.25,2,2,,,150,300,,,"CIVILIAN, TANKER","base_bp, merc",,0.7,2,4,,209
Afflictor,afflictor,Phase Frigate,High Tech,entropyamplifier,11,1000,350,3000,5000,400,57,,165,120,100,60,120,200,PHASE,phasecloak,90,,,0.03,0.04,5,10,25,50,1,50,10,42000,10,20,180,0.25,10,10,,,,,,,,"rare_bp, merc",,0.5,2,2,,210
Shade,shade,Phase Frigate,High Tech,emp,10,1200,350,2500,3750,300,57,,165,120,100,60,120,200,PHASE,phasecloak,90,,,0.05,0.05,10,15,25,50,1,50,10,40000,10,20,180,0.25,8,8,,,,,,,,"rare_bp, merc",,0.5,2,2,,211
Ox,ox,Tug,Low Tech,flarelauncher,2,500,150,500,625,50,5,,100,200,150,45,90,150,NONE,,0,0,0,,,2,4,0,10,5,2,8,16000,10,40,240,0.25,5,5,,,,,,,CIVILIAN,"base_bp, merc",,0.25,2,2,,212
Cerberus,cerberus,Combat Freighter,Low Tech,burndrive,5,2500,400,1250,1875,150,57,,110,100,75,60,120,300,NONE,,0,0,0,,,20,50,100,40,1,40,10,9000,8,10,240,0.25,4,4,25,100,,,,,,base_bp,,0.3,2,2,,213
Monitor,monitor,Frigate,Midline,fortressshield,5,1500,175,4000,1500,120,42,,90,120,100,60,120,200,OMNI,,300,0.5,0.8,,,15,30,30,20,1,20,10,25000,8,10,360,0.25,6,6,,,,,,,,"rare_bp, hist2t, merc",,0.5,2,2,,214
Shepherd,shepherd,Drone Tender,Low Tech,maneuveringjets,4,1200,200,1500,1250,100,42,1,90,120,70,90,180,200,OMNI,,90,0.5,1.2,,,15,30,100,40,1,40,9,10000,8,20,240,0.25,3,3,,,,,,,CARRIER,base_bp,,0.5,2,2,,216
Kite,kite,Shuttle,Midline,maneuveringjets,3,900,150,1400,1000,80,45,,140,150,75,45,85,120,OMNI,,150,0.5,0.8,,,2,30,30,15,1,15,9,4000,5,20,180,0.25,2,2,,,,,,,,base_bp,,0.75,2,2,,217
